ComunaSubida,ComunaBajada,suma_ViajeLaboralPromedio,suma_Viajes1Etapa,suma_Viajes2Etapas,suma_Viajes3Etapas,suma_Viajes4Etapas,suma_Viajes5oMasEtapas,suma_ViajesUsanMetro,suma_ViajesUsanMetroTren,suma_ViajesSoloMetro,suma_ViajesSoloBus
CERRILLOS,CERRILLOS,5028.1352526235005,4551.761616017,461.9682408836,14.4053682088,0.0,0.0,3.13170442,0.0,0.0,5025.0035348735
CERRILLOS,CERRO NAVIA,127.9514435824,0.5361971259,63.09818095,62.8363786634,1.4806875885,0.0,47.9819509676,0.0,0.0,79.9694948816
CERRILLOS,CONCHALI,107.7496937228,18.6342166356,60.099877685,28.7358473229,0.2797532082,0.0,56.3917733434,0.2797532082,0.0,51.3579213622
CERRILLOS,EL BOSQUE,227.70537501319998,53.562244774199996,131.6869829019,41.8639162482,0.5922329722999999,0.0,51.0433378204,1.1636631787,0.0,176.6620367777
CERRILLOS,ESTACION CENTRAL,3006.1227593074,2160.4324564544,801.1204255243999,42.9176012579,1.6522850394,0.0,425.5274233059,1.1554145514,77.3875519029,2580.5953430874
CERRILLOS,HUECHURABA,139.3457353682,1.4327386916,65.5650756941,70.7175611282,1.6303595006,0.0,128.5399017863,0.0,0.0,10.8058335485
CERRILLOS,INDEPENDENCIA,145.1577230175,4.2539331016999995,67.0471703111,73.5905227072,0.2660962045,0.0,124.044530847,0.0,0.0,21.113191335499998
CERRILLOS,LA CISTERNA,641.5314570503,425.70480643450003,192.80641269010002,21.270410178,1.7498189211000001,0.0,280.4061736798,0.5579688251,148.9432708881,361.1252822476
CERRILLOS,LA FLORIDA,727.7000246205,349.4635036019,307.247875199,70.1580773884,0.539822042,0.290756017,481.1092738293,0.0,213.4328798358,246.5907562472
CERRILLOS,LA GRANJA,105.2564472568,31.6377055646,52.287838788,20.744863271499998,0.5860398412,0.0,50.3973386878,0.0,15.748317628599999,54.8591084775
CERRILLOS,LA PINTANA,156.4203278748,0.0,101.5102418964,52.6472749691,2.2628127338,0.0,54.5018210721,2.2377205192000003,0.0,101.9185070118
CERRILLOS,LA REINA,280.2024300868,90.237358395,133.8818909958,55.8075978746,0.2755891085,0.0,265.1598621536,0.0,89.97126228,15.042571871
CERRILLOS,LAS CONDES,2323.077093257,1086.5355537320002,957.3493818002,274.2190794247,4.7101821601000005,0.2629084885,2282.626260749,0.2920846641,1086.5355537320002,40.4508198205
CERRILLOS,LO BARNECHEA,90.9087247076,0.0,37.8956563784,49.6983097791,2.7866840363,0.5280747413,87.1825524593,0.0,0.0,3.7261720297
CERRILLOS,LO ESPEJO,930.1888674803,753.7518952865,153.9580237511,22.4789414414,0.0,0.0,3.2256357672,2.6020106371,0.0,926.9632305133
CERRILLOS,LO PRADO,268.2460138253,56.6384770864,179.8184791199,31.2600559895,0.2629084289,0.2660962343,201.2139769093,0.0,55.180447549,67.0320371965
CERRILLOS,MACUL,639.1788803155,373.6481535455,214.5588480717,49.8451445986,1.1267231405,0.0,599.7604594225,0.0,371.1140967625,39.418414562
CERRILLOS,MAIPU,6891.6974692081,5422.7964206872,1365.7057558299,100.3517602091,2.5612493753,0.2823092043,155.1162966494,0.0,88.3059408674,6736.5812161281
CERRILLOS,NUNOA,2127.16810643,1162.1687029537,808.8656566577,153.050986503,3.0827457007,0.0,2024.162152218,0.268098563,1162.1687029537,103.0059306351
CERRILLOS,PEDRO AGUIRRE CERDA,747.728631718,528.0548086525,195.3455385565,24.328286081,0.0,0.0,103.5284054584,1.211435318,68.0833957794,644.2002282275
CERRILLOS,PENALOLEN,308.7155789064,46.5131800785,178.850527283,82.5011376437,0.8507361412000001,0.0,262.2042100474,0.0,40.6014229673,46.5113705095
CERRILLOS,PROVIDENCIA,4901.7905324321,2857.5236296927,1907.2602859124,135.0933648959,1.9132545589999999,0.0,4832.6189491857,3.087774605,2857.2575774927,69.1715331715
CERRILLOS,PUDAHUEL,487.162197491,76.8073954588,293.4284971217,114.1824447779,2.1894199551,0.5544489323999999,243.66210199900001,0.0,23.6395642156,243.500098823
CERRILLOS,PUENTE ALTO,472.6448048843,146.9055950015,239.5831175075,84.1912040413,1.668218255,0.2966729105,407.8296995241,0.0,140.7788708264,64.81510186370001
CERRILLOS,QUILICURA,165.4264165536,38.1148046847,81.988160105,44.1806448421,1.1428079307,0.0,68.252461969,0.0,0.0,97.173956127
CERRILLOS,QUINTA NORMAL,349.787974572,164.6769060527,144.4754818107,39.4662760798,1.1693091988000002,0.0,52.543587118299996,0.2744768858,7.2388578648,297.24439105
CERRILLOS,RECOLETA,814.9195741683,354.6370697109,412.3868702605,47.6158769729,0.2797531784,0.0,792.4469191286,7.377868533,339.2373158899,22.472650945
CERRILLOS,RENCA,175.4067884202,81.4255910523,76.3936986045,16.749633402,0.837864995,0.0,13.712068022299999,0.0,0.0,161.6947191971
CERRILLOS,SAN BERNARDO,210.3723305335,26.5694963641,107.3489971173,70.9665159567,5.4873228373,0.0,37.6811856928,36.3723734326,0.0,172.6911468475
CERRILLOS,SAN JOAQUIN,386.9019925695,227.5864936728,129.9519945641,29.0694380107,0.2940653563,0.0,270.7098337954,0.3036392331,161.4472510775,116.1921562243
CERRILLOS,SAN MIGUEL,994.0955842264,536.7971787871,404.6695585797,51.790786801900005,0.5364554226,0.3016159534,662.2114907607,0.0,360.75705982,331.8841086034
